Let's try something.	Kokeillaanpa jotakin!
Let's try something.	Koitetaanpas tätä!
Let's try something.	Yritetään jotain.
I have to go to sleep.	Minun täytyy mennä nukkumaan.
Muiriel is 20 now.	Muiriel on nyt kaksikymmentä.
Muiriel is 20 now.	Muiriel on nyt kaksikymmentävuotias.
Muiriel is 20 now.	Muiriel on nyt 20.
"The password is ""Muiriel""."	Salasana on ”Muiriel”.
I will be back soon.	Palaan pian.
I will be back soon.	Tulen pian takaisin.
I'm at a loss for words.	En löydä sanoja.
This is never going to end.	Tämä ei lopu ikinä.
This is never going to end.	Tämä ei tule koskaan loppumaan.
This is never going to end.	Tämä ei lopu koskaan.
This is never going to end.	Tämä ei pääty koskaan.
I just don't know what to say.	En oikein tiedä mitä sanoa.
I was in the mountains.	Olin vuorilla.
Is it a recent picture?	Onko se tuore kuva?
I don't know if I have the time.	En tiedä onko minulla siihen aikaa.
I don't know if I have the time.	En tiedä onko minulla aikaa.
Education in this world disappoints me.	Olen pettynyt tämän maailman koulutukseen.
You're in better shape than I am.	Olet paremmassa kunnossa kuin minä.
You are in my way.	Olet tielläni.
This will cost €30.	Tämä maksaa kolmekymmentä euroa.
I make €100 a day.	Ansaitsen sata euroa päivässä.
That won't happen.	Sitä ei tule tapahtumaan.
That won't happen.	Niin ei tapahdu.
Sometimes he can be a strange guy.	Joskus hän kyllä osaa olla erikoinen kaveri.
I'll do my best not to disturb your studying.	Koetan parhaani mukaan olla häiritsemättä opiskeluasi.
I can only wonder if this is the same for everyone else.	Ihmettelen vain, jos kaikilla muillakin on samanlaista.
I miss you.	Kaipaan sinua.
I miss you.	Ikävöin sinua.
I miss you.	Minulla on sinua ikävä.
I miss you.	Mulla on ikävä sua.
I miss you.	Mul on ikävä sua.
I'll call them tomorrow when I come back.	Soitan heille huomenna, kun tulen takaisin.
You should sleep.	Sinun pitäisi nukkua.
I'm going to go.	Minä olen lähdössä.
I told them to send me another ticket.	Sanoin heille, että lähettäisivät minulle toisen lipun.
I told them to send me another ticket.	Käskin heitä lähettämään minulle toisen lipun.
You're so impatient with me.	Sinulla ei ole lainkaan kärsivällisyyttä minun kanssani.
I can't live that kind of life.	En voi elää sellaista elämää.
I can't live that kind of life.	En voi elää tällaista elämää.
I once wanted to be an astrophysicist.	Joskus halusin olla astrofyysikko.
I never liked biology.	En koskaan pitänyt biologiasta.
It is unfortunately true.	Pitää paikkansa, ikävä kyllä.
It is unfortunately true.	Se on valitettavasti totta.
Most people think I'm crazy.	Useimmat pitävät minua hulluna.
Most people think I'm crazy.	Useimmat ihmiset ajattelevat, että olen hullu.
Most people think I'm crazy.	Suurin osa ihmisistä pitää minua hulluna.
No I'm not; you are!	Enkä ole. Itse olet.
That's MY line!	Se on MINUN repliikkini!
That's MY line!	Ne olivat MINUN vuorosanani!
That's MY line!	Tässä on raja!
He's kicking me!	Hän potkii minua!
Are you sure?	Oletko varma?
Oh, there's a butterfly!	Oi, täällä on perhonen!
Hurry up.	Pidä kiirettä.
It doesn't surprise me.	Se ei minua yllätä.
It doesn't surprise me.	Se ei yllätä minua.
It doesn't surprise me.	Se ei tule yllätyksenä.
It depends on the context.	Se riippuu asiayhteydestä.
It depends on the context.	Se riippuu kontekstista.
Are you freaking kidding me?!	Yritätkö kusettaa minua?
When I grow up, I want to be a king.	Kun kasvan isoksi, haluan olla kuningas.
When I grow up, I want to be a king.	Isona haluan olla kuningas.
I'm so fat.	Olen niin lihava.
I'm so fat.	Olen tosi lihava.
I'm so fat.	Olen hirveän lihava.
I'm so fat.	Olen hirvittävän lihava.
So what?	Mitä sitten?
So what?	Mitä siitä?
So what?	Entä sitten?
So what?	Entäs sitten?
I'm gonna shoot him.	Ammun hänet.
That was probably what influenced their decision.	Tämä todennäköisesti on se mikä vaikutti heidän päätökseensä.
I've always wondered what it'd be like to have siblings.	Olen aina miettinyt millaista olisi jos olisi sisaruksia.
This is what I would have said.	Tämän olisin sanonut.
It would take forever for me to explain everything.	Kaiken selittämiseen menisi ikuisuus.
That's because you're a girl.	Tämä johtuu siitä, että olet tyttö.
That's because you're a girl.	Se johtuu siitä, että olet tyttö.
Sometimes I can't help showing emotions.	Joskus en voi olla paljastamatta tunteitani.
I don't intend to be selfish.	Tarkoitukseni ei ole olla itsekäs.
Let's consider the worst that could happen.	Mietitään mikä on pahinta mitä voi tapahtua.
How many close friends do you have?	Kuinka monta läheistä ystävää sinulla on?
I may be antisocial, but it doesn't mean I don't talk to people.	Saatan olla epäsosiaalinen, mutta se ei tarkoita, etten puhuisi ihmisille.
This is always the way it has been.	Näin on aina ollut.
Back in high school, I got up at 6 a.m. every morning.	Lukiossa ollessani heräsin joka aamu kello kuusi.
When I woke up, I was sad.	Herätessäni olin surullinen.
When I woke up, I was sad.	Kun heräsin olin surullinen.
Most people write about their daily life.	Useimmat kirjoittavat päivittäisestä elämästään.
Most people write about their daily life.	Suurin osa ihmisistä kirjoittaa päivittäisestä elämästään.
Every person who is alone is alone because they are afraid of others.	Jokainen yksinäinen ihminen on yksin, koska hän pelkää muita ihmisiä.
Why do you ask?	Miksi kysyt?
I am a flawed person, but these are flaws that can easily be fixed.	Olen puutteellinen ihminen mutta nämä puutteet on helppo korjata.
Whenever I find something I like, it's too expensive.	Aina kun löydän jotain, joka miellyttää minua, on se liian kallista.
Whenever I find something I like, it's too expensive.	Aina kun löydän jotain mistä pidän, se on liian kallista.
How long did you stay?	Kuinka pitkään olit siellä?
How long did you stay?	Kuinka kauan olit?
How long did you stay?	Kuinka pitkään olit?
How long did you stay?	Kuinka kauan olit siellä?
How long did you stay?	Kuinka pitkään viivyit siellä?
That is intriguing.	Mielenkiintoista.
That is intriguing.	Sepä vasta mielenkiintoista.
That is intriguing.	Sepä vasta kiintoisaa.
I didn't know where it came from.	En tiennyt mistä se tuli.
This is not important.	Tämä ei ole tärkeää.
I didn't like it.	En pitänyt siitä.
I didn't like it.	En tykännyt siitä.
She's asking how that's possible.	Hän kysyy kuinka tämä on mahdollista.
You can do it.	Pystyt siihen.
You can do it.	Voit tehdä sen.
My physics teacher doesn't care if I skip classes.	Fysiikan opettajani ei välitä vaikka olen poissa tunneilta.
I wish I could go to Japan.	Kunpa voisin mennä Japaniin.
I hate it when there are a lot of people.	Inhoan suuria väkijoukkoja.
I have to go to bed.	Minun täytyy mennä nukkumaan.
I have to go to bed.	Minun täytyy mennä sänkyyn.
I won't ask you anything else today.	En pyydä mitään muuta tänään.
It may freeze next week.	Ensi viikolla saattaa olla pakkasta.
It may freeze next week.	Ensi viikolla saattaa pakastua.
Even though he apologized, I'm still furious.	Olen raivoissani, vaikka hän pyysi anteeksi.
That wasn't my intention.	Tämä ei ollut tarkoitukseni.
That wasn't my intention.	Se ei ollut tarkoitukseni.
Thanks for your explanation.	Kiitos selityksestäsi.
If you didn't know me that way then you simply didn't know me.	Jos et tuntenut minua tällä tavalla, et yksinkertaisesti tuntenut minua.
I don't know what you mean.	En tiedä mitä tarkoitat.
